questionText,topic,intent,role,scope,keywords
지원 직무를 수행하기 위해 했던 노력이나 활동에 어떤 것들이 있나요?,직무 핵심 역량,성과/기여,ALL,ALL,"직무, 노력, 활동"
주변에서 말하는 지원자의 장단점이 있다면 무엇인가요?,경험/행동,자기관리,ALL,ALL,"주변, 장단점"
"지원자가 같이 일하고 싶은 동료는 어떤 동료고, 같이 일하고 싶지 않는 동료는 어떤 동료인가요?",협업/커뮤니케이션,리더십,ALL,ALL,"동료, 같이"
해당 부서가 어떤 사업을 하는 곳인지 알고 있나요?,회사/제품 이해,기타,ALL,ALL,"부서, 사업"
본인이 가장 힘들었던 경험과 그것을 극복한 사례를 말해주세요.,경험/행동,자기관리,ALL,ALL,"경험, 극복, 사례"
본인이 스트레스를 받는 경우와 그것을 해소하는 방법에 대해 말해주세요.,경험/행동,자기관리,ALL,ALL,"스트레스, 해소, 방법"
"취업(or 이직) 공백기가 왜 생겼고, 그 시기에 무엇을 했나요?",경험/행동,자기관리,ALL,ALL,"취업, 이직, 공백기, 시기"
우리 회사가 지원자를 뽑아야 할 이유에 대해서 말해주세요.,목표 비전,선택 기준,ALL,ALL,"회사, 뽑아야 할, 이유"
지원자가 생각하는 5년 후 목표가 있나요?,목표 비전,성과/기여,ALL,ALL,"5년 후, 목표"
본인은 리더형 vs 팔로우형 중 어떤 유형에 더 가깝나요?,협업/커뮤니케이션,리더십,ALL,ALL,"리더형, 팔로우형, 어떤 유형"
지금 지원한 직무와 실제 회사에 들어와서 배정받는 직무가 다른 경우엔 어떻게 대처할 건가요?,직무 핵심 역량,문제해결,ALL,ALL,"지원 직무, 배정 직무, 다른 경우"
"대학원에 진학할 수도 있었을 것 같은데, 산업계로 온 이유가 있나요?",경험/행동,선택 기준,ALL,신입,"대학원, 진학 포기, 산업계, 취업"
"팀 단위의 프로젝트를 할 때, 팀에서 지원자가 협력하는 방법에 대해 말해주세요.",협업/커뮤니케이션,성과/기여,ALL,ALL,"팀 프로젝트, 협력, 방식"
팀에서 퍼포먼스가 떨어지는 인원이 있을 경우에 어떻게 대처할 건가요?,협업/커뮤니케이션,리더십,ALL,ALL,"퍼포먼스, 떨어지는, 동료, 대처"
"해당 회사가 다른 경쟁사들과 비교했을 때 가지는 차별점, 경쟁력은 무엇이라고 생각하나요?",회사/제품 이해,기타,ALL,ALL,"경쟁사, 비교, 차별점, 경쟁력, 무엇"
지원자가 회사를 선택할 때의 기준이 무엇인가요? 우리 회사는 그 기준에 적합한가요?,회사/제품 이해,선택 기준,ALL,ALL,"회사, 선택, 기준, 적합"
우리 회사의 경쟁력이 무엇이라고 생각하시나요?,회사/제품 이해,기타,ALL,ALL,"우리, 경쟁력, 무엇"
"우리 회사 제품의 문제점이 있다면, 어떤 게 있을까요?",회사/제품 이해,기타,ALL,ALL,"제품, 문제점"
지원자의 강점이 우리 직무에 왜 필요하다고 생각하시나요?,직무 핵심 역량,성과/기여,ALL,ALL,"강점, 직무, 필요"
본인의 성공 경험과 실패 경험에 대해 말해주세요.,경험/행동,자기관리,ALL,ALL,"성공, 경험, 실패"
지원한 직무에서 핵심 성과 지표를 설정한다면 무엇이라고 생각하시나요?,직무 핵심 역량,성과/기여,ALL,ALL,"핵심, 성과, 지표, 설정"
혼자 일하는 것과 팀으로 일하는 것 중에 어떤 업무방법을 더 선호하세요?,협업/커뮤니케이션,선택 기준,ALL,ALL,"혼자, 팀, 선택, 업무, 방법, 선호"
팀 프로젝트에서 팀원들을 리딩해본 경험이 있나요?,협업/커뮤니케이션,리더십,ALL,리더,"팀 프로젝트, 팀원, 리딩, 경험"
팀원들과 협업하면서 불만족스러웠던 부분이 있나요?,협업/커뮤니케이션,기타,ALL,ALL,"팀원, 협업, 불만족, 부분"
지원한 직무에서 협업 및 커뮤니케이션 스킬이 왜 중요하다고 생각하시나요?,협업/커뮤니케이션,기타,ALL,ALL,"협업, 커뮤니케이션, 스킬, 중요"
"회사에 입사해서 열심히 일을 했는데, 그만큼의 인정이나 보상이 따르지 않을 경우엔 어떻게 하실 건가요?",회사/제품 이해,문제해결,ALL,ALL,"입사 후, 인정, 보상, 경우"
인생에서 가장 도전적이었던 경험이 있다면 말해주세요.,경험/행동,자기관리,ALL,ALL,"인생, 가장, 도전적, 경험"
살면서 가장 힘들었던 경험이 있다면 말해주세요.,경험/행동,문제해결,ALL,주니어,"인생, 가장, 힘듦, 경험"
팀 동료와 갈등이 발생한다면 어떻게 해결하실 건가요?,협업/커뮤니케이션,문제해결,ALL,주니어,"동료, 갈등, 발생, 해결"
"다른 기업에서 동일한 직무가 있는데, 꼭 해당 회사에 입사해야하는 이유가 있나요?",회사/제품 이해,선택 기준,ALL,ALL,"다른 기업, 동일 직무, 우리 회사, 입사 이유"
우리 회사 제품에 대해 아는대로 다 말해보세요.,회사/제품 이해,기타,ALL,ALL,"제품, 아는대로"
우리 회사가 어떤 방향으로 나아가야 한다고 생각하시나요?,회사/제품 이해,성과/기여,ALL,ALL,"우리, 어떤 방향으로, 생각"
다른 지원자들과 차별화되는 지원자만의 강점이 있다면 말해주세요.,직무 핵심 역량,자기관리,ALL,ALL,"다른 지원자, 차별화, 강점"
지원자가 회사를 선택하는 기준은 무엇인가요?,회사/제품 이해,선택 기준,ALL,ALL,"회사, 선택, 기준"
우리 회사의 인재상이 무엇인지 아시나요? 지원자가 그에 적합하다고 생각하시나요?,회사/제품 이해,기타,ALL,ALL,"우리 회사, 인재상, 적합"
지원한 직무에서 가장 중요한 역량이 무엇이라고 생각하시나요?,직무 핵심 역량,문제해결,ALL,ALL,"가장, 중요, 역량"
상사의 부당한 지시가 있다면 어떻게 대처하실 건가요?,기타,문제해결,ALL,ALL,"상사, 부당, 지시, 대처"
노동조합에 대해 어떻게 생각하시나요?,경험/행동,자기관리,ALL,ALL,"노동조합, 생각"
살면서 가장 노력했던 경험이 있다면 말해주세요.,회사/제품 이해,기타,ALL,ALL,"가장, 노력, 경험"
"마케팅 분야에서 가장 중요하다고 생각하는 트렌드는 무엇이며, 왜 그렇게 생각하나요?",직무 핵심 역량,성과/기여,MARKETING,ALL,"마케팅, 가장, 중요, 트렌드, 왜"
우리 브랜드를 어떻게 개선하거나 성장시킬 수 있는지 구체적인 전략을 제시해주세요.,회사/제품 이해,문제해결,MARKETING,ALL,"브랜드, 개선, 성장, 구체적, 전략"
"지금까지 진행한 마케팅 캠페인 중 가장 성공적이었다고 생각하는 것은 무엇인가요, 그리고 그 이유는 무엇인가요?",경험/행동,성과/기여,MARKETING,주니어,"지금까지, 진행, 마케팅, 캠페인, 가장, 성공"
소셜 미디어 마케팅의 효과를 어떻게 측정할 수 있나요?,직무 핵심 역량,문제해결,MARKETING,리더,"소셜 미디어 마케팅, 효과, 측정"
"당신이 생각하는 실패한 마케팅 캠페인 사례는 무엇이며, 그 원인은 무엇이라고 생각하나요?",경험/행동,성과/기여,MARKETING,ALL,"실패, 마케팅, 사례, 원인"
"마케팅 트렌드 중 하나를 선택하고, 이 트렌드가 우리 회사에 어떻게 적용될 수 있는지 설명해주세요.",회사/제품 이해,문제해결,MARKETING,주니어,"마케팅, 트렌드, 하나 선택, 우리 회사, 적용"
"가장 선호하는 마케팅 도구나 소프트웨어는 무엇이며, 왜 그렇게 생각하나요?",직무 핵심 역량,기타,MARKETING,ALL,"가장, 선호, 도구, 소프트웨어"
효과적인 컨텐츠 마케팅 전략은 무엇이라고 생각하나요?,직무 핵심 역량,기타,MARKETING,ALL,"효과적, 컨텐츠, 마케팅, 전략"
마케팅 데이터를 분석할 때 어떤 지표들을 주로 고려하나요?,직무 핵심 역량,기타,MARKETING,ALL,"데이터, 분석, 어떤, 지표, 고려"
"인사 관리에서 가장 중요하다고 생각하는 요소는 무엇이며, 그 이유는 무엇인가요?",회사/제품 이해,기타,HR,ALL,"인사 관리, 가장, 중요, 요소, 이유"
조직 문화를 개선하기 위해 구체적으로 어떤 전략을 사용하겠습니까?,협업/커뮤니케이션,문제해결,HR,ALL,"조직, 문화, 개선, 구체적, 전략, 사용"
"직원 성과 관리를 어떻게 접근하고, 어떤 도구를 사용하나요?",협업/커뮤니케이션,문제해결,HR,ALL,"성과, 관리, 접근, 도구"
"직원 이직률을 줄이기 위한 전략은 무엇이며, 그 전략의 효과는 어떻게 평가하나요?",직무 핵심 역량,문제해결,HR,ALL,"이직률, 줄이기, 전략, 효과, 평가"
"최근에 직면했던 HR 관련 도전과제는 무엇이었으며, 어떻게 해결했나요?",경험/행동,문제해결,HR,ALL,"최근, 직면, HR, 도전과제, 해결"
우리 부서와 다른 부서간의 협력을 어떻게 강화할 계획인가요?,회사/제품 이해,문제해결,HR,ALL,"다른, 부서간, 협력, 강화, 계획"
채용 프로세스를 개선하기 위해 어떤 노력을 기울일 것인가요?,회사/제품 이해,문제해결,HR,ALL,"채용, 프로세스, 개선, 노력"
직원의 동기 부여와 직무 만족도를 높이는 데 있어 가장 효과적인 전략은 무엇이라고 생각하나요?,직무 핵심 역량,문제해결,HR,ALL,"동기 부여, 만족도, 높이기, 가장, 효과적, 전략"
"인사 관리에서 데이터 분석의 역할은 어떻게 보나요, 그리고 어떻게 활용하나요?",회사/제품 이해,기타,HR,ALL,"인사 관리, 데이터 분석, 역할, 활용"
"당신이 생각하는 IT 기획의 가장 중요한 요소는 무엇이며, 왜 그렇게 생각하나요?",회사/제품 이해,기타,PLANNER,ALL,"IT, 기획, 가장, 중요, 요소"
"과거에 참여한 IT 프로젝트 중 가장 성공적이었다고 생각하는 프로젝트는 무엇이며, 그 이유는 무엇인가요?",경험/행동,성과/기여,PLANNER,ALL,"과거, IT, 프로젝트, 가장, 성공, 이유"
프로젝트 예산 초과를 방지하기 위한 전략은 무엇인가요?,직무 핵심 역량,문제해결,PLANNER,ALL,"프로젝트, 예산, 초과, 방지, 전략"
"대규모 IT 프로젝트를 계획할 때 가장 큰 도전은 무엇이었고, 어떻게 극복했나요?",경험/행동,문제해결,PLANNER,ALL,"대규모, IT, 계획, 가장, 도전, 극복"
팀과의 커뮤니케이션을 어떻게 관리하나요? 효과적인 커뮤니케이션을 위한 전략에는 무엇이 포함되나요?,협업/커뮤니케이션,문제해결,PLANNER,ALL,"팀, 커뮤니케이션, 관리, 효과적, 전략, 무엇, 포함"
기술적 문제 해결을 위해 접근하는 방식을 설명해 주세요. 구체적인 예를 들어서 설명해 주세요.,직무 핵심 역량,기타,PLANNER,ALL,"기술적, 문제 해결, 접근, 방식, 구체적, 예"
프로젝트 범위가 중간에 변경될 때 어떻게 대응하나요?,직무 핵심 역량,문제해결,PLANNER,ALL,"프로젝트, 범위, 중간, 변경, 대응"
"IT 프로젝트 기획에서 가장 선호하는 프로젝트 관리 도구는 무엇이며, 그 이유는 무엇인가요?",회사/제품 이해,기타,PLANNER,ALL,"IT, 프로젝트, 기획, 가장, 선호, 관리, 도구, 무엇, 이유"
지금까지 경험에서 배운 IT 프로젝트 관리의 가장 중요한 교훈은 무엇인가요?,경험/행동,문제해결,PLANNER,ALL,"경험, 배운, IT, 프로젝트, 관리, 도구, 무엇, 이유"
영업 직무에 지원한 동기와 이 직무가 자신에게 적합하다고 생각하는 이유는 무엇인가요?,회사/제품 이해,자기관리,SALES,ALL,"영업, 동기, 적합, 이유"
지금까지 달성한 가장 큰 영업 성공 사례를 소개해 주세요. 그 과정에서 어떤 전략을 사용했나요?,경험/행동,문제해결,SALES,ALL,"달성, 가장, 영업, 성공, 사례, 과정, 전략"
"고객의 구매 결정 과정을 어떻게 이해하고, 이를 기반으로 어떻게 영업 전략을 수립하나요?",직무 핵심 역량,성과/기여,SALES,ALL,"고객, 구매, 결정, 과정, 이해, 영업, 전략, 수립"
"어려운 고객을 만났을 때, 그 상황을 어떻게 관리할 것인가요?",직무 핵심 역량,문제해결,SALES,ALL,"어려운, 고객, 상황, 관리"
"신제품이나 서비스를 시장에 소개할 때, 어떤 접근 방식을 사용하나요?",직무 핵심 역량,기타,SALES,ALL,"신제품, 서비스, 시장, 소개, 접근, 방식"
경쟁사 제품과 비교했을 때 우리 제품의 강점과 약점은 무엇이라고 생각하나요?,회사/제품 이해,문제해결,SALES,ALL,"경쟁사 제품, 비교, 우리 제품, 강점, 약점"
팀 영업 환경에서 다른 팀원들과 어떻게 협력하나요? 정보를 수집하고 분석하는 과정을 설명해주세요.,협업/커뮤니케이션,성과/기여,SALES,ALL,"팀 환경, 팀원, 협력, 정보, 수집, 분석, 과정, 설명"
자신이 관리하는 영업 파이프라인을 어떻게 관리할 것인가요? 우선순위를 설정하고 결과를 모니터링하는 방법에 대해 설명해주세요.,직무 핵심 역량,자기관리,SALES,ALL,"관리, 영업, 파이프라인, 관리, 우선순위, 설정, 결과, 모니터링, 방법"
최근에 작업한 프로젝트에서 사용한 프로그래밍 언어와 기술 스택은 무엇인가요?,경험/행동,기타,DEVOPS,ALL,"최근, 작업, 프로젝트, 프로그래밍, 언어, 기술, 스택"
